Day,Match_Day,Date,Referee,Team,Opponent,Formation,Possession,Open_Play_Pass,Passes_Completed,Passes_Under_Pressure,Ground_Passes,High_Passes,SoT%,G/SoT,Avg_Shots_Distance,FK_Shots,PK,Shot_Creating_Actions,Successful_Dribbles,Final_Third_Entries,Final_Third_Entries_Allowed,Save%,Clean_Sheet,PK_Allowed,Defensive_Actions,Aerial_Battles_Won%,OG,xG,xGA,npxG,npxGA,Scored,Conceded,xpts,Net_npxG,PPDA,Allowed_PPDA,Total_Points,Pts,Total_Goals,Total_Conceded,Result,Home_Shots,Home_SoT,Home_Fouls,Home_Corners,Home_Yellow,Home_Red,Away_Shots,Away_SoT,Away_Fouls,Away_Corners,Away_Yellow,Away_Red
Sat,14.0,01/04/2020 20:00,J Moss,Manchester United,Leicester,4-1-4-1,69.39954761714755,519.2875769771731,483.34177568967164,73.49503002935595,153.0772886048524,95.03181657849544,51.4048449587404,0.1298541162969916,14,0,-0.03890153426396989,18.462476700915193,43.94268714157202,9.387591980551669,7.9678825885739935,68.28025555149014,0.1670879049945204,0.2573991306279195,1.199798281828605,59.1153793056492,-0.09629700480156742,2.6839187645439893,1.3888769232230678,1.8655343499613826,0.740874570279885,3.5528712841947514,1,1.4742330074932755,-1.0614943691022225,6.238221744421397,7.999032887235591,13,1,12,0,l,6,9,12,0,3,0,5,4,9,1,0,0
Mon,19.0,02/15/2020 20:00,O Langford,Aston Villa,Leicester,4-3-2-1,49.52418084225568,925.2193990952474,401.08037686889054,118.79600189154623,592.3121124703832,81.37338122794887,22.568658783562316,0.03648024308600728,19,0,0.2640256444462881,15.267024428100925,55.206307700258435,6.452462351686067,9.720101588155206,74.9324601105949,-0.5662064852852624,0.016641735273999328,0.4402725567558835,59.843061604067046,-0.03368547851897891,1.1119475098196692,1.078068326034007,1.7917250110264515,1.2953178063000501,-0.391297183364955,0,1.7390535747499145,-0.22856047989049294,14.533239000880712,8.748480954695182,26,2,0,17,d,11,2,10,0,1,0,13,2,15,4,4,0
Sun,27.0,03/07/2020 20:00,A Marriner,Crystal Palace,Manchester City,4-3-3,30.0,526.5625955044355,639.1153360099552,136.63774175344776,313.4633910711516,132.8927116273979,25.938748619529967,0.8893869027888468,19,0,0.3032565182686411,25.277484103479736,70.17918950482922,13.029041770068513,7.643427912089419,94.96125847260876,-0.05815410184777958,0.14617204022753397,1.0049578087416755,63.142545137835505,0.08889443269886294,2.869183139007529,-0.34881808137087966,1.766338644212476,0.8395489326872643,-0.9885325337626645,3,1.0574066781155371,2.053348428628017,1.0041025076814183,15.980027871085138,6,2,44,8,d,7,7,10,1,1,0,9,4,8,5,1,0
Fri,24.0,12/02/2019 20:00,P Bankes,Brighton,Tottenham,4-4-1-1,43.713560486010806,338.63660578841046,378.61978175794974,125.20585218837033,138.3096940359297,94.13795253154255,40.755965164086966,0.8234893641442128,14,1,0.24254457677289692,16.155174701922142,52.428390828621474,4.823301123784138,1.1875986849998972,72.14278700826327,-0.08034002210555219,0.6446115702879827,-0.22561795399626983,50.2142684634179,-0.10413635186240427,0.8106427317676133,2.2392469585348262,1.0412918160485491,0.9097703360443612,3.0386671389585125,3,0.723197315219365,-0.30316169167823964,24.026383043889222,16.088394476864067,23,0,16,1,l,11,6,4,4,1,0,17,0,5,6,2,0
Sat,12.0,02/29/2020 20:00,A Taylor,Norwich,Newcastle,4-3-3,35.28345453602593,554.642386111311,344.30544924307685,84.17348341242946,320.4829153726652,79.54654723163354,26.600210710532174,0.6007111554004789,17,0,0.11200402411504508,24.37157951425862,84.16244386214532,11.118499097616581,8.233911590634852,93.97892981933205,0.2533196141118269,-0.03764498439257402,1.2060892636001017,59.4628676458115,0.05635089454189063,1.485375469904756,2.2060974399977216,0.36238101081718566,0.6516666209405986,1.5752041634708358,1,0.46461168794491514,1.465584910805774,11.500102030449916,15.514019778550395,14,2,11,21,d,16,4,9,3,0,0,0,4,9,4,0,0
Fri,7.0,10/23/2019 20:00,A Marriner,Liverpool,Chelsea,4-1-4-1,59.84362206384944,303.8249284756497,353.29242560265493,89.00555148367255,285.70334281726207,87.71616726385484,27.989472685814356,0.748616526278802,18,0,0.17547463081641756,31.95057395479199,49.99716510341258,7.3986329256047085,7.12275344844832,97.82673767751479,-0.3039271093716501,-0.19717746680954326,2.524278467140095,38.439299317772154,0.20079209139751875,1.002082196427466,-0.013407698233554699,0.6800365946339747,1.1634040618973729,0.5282140229624113,1,1.8048967343431264,-0.7173418242247407,9.481423705283335,14.927580746945816,10,1,23,19,l,6,5,9,0,3,0,13,2,10,7,3,0
Sun,8.0,09/17/2019 20:00,C Kavanagh,Chelsea,Crystal Palace,4-3-3,49.930879387417065,416.3623888646515,423.02202822347715,-3.5123312270738865,748.9591661074862,96.51486651601198,0.0,-0.11302942270117095,20,0,0.0007098823164259221,14.837185176677437,61.599978437569014,6.431863765218785,9.539845347667827,78.20221312273134,-0.004847508876169582,0.3065364598837341,0.4702096210596588,38.8528342380192,-0.005918463141087529,2.3645702464401723,1.9000789293752969,0.54658942525974,1.952602947683237,1.7310049828706564,2,1.5055833977178021,-0.14882152163554407,13.54750098954699,17.31121893683402,17,0,17,17,w,14,3,6,4,0,0,2,4,10,3,1,0
Thu,6.0,12/10/2019 20:00,M Dean,Crystal Palace,Wolves,3-4-3,47.75307796072368,362.1848793664659,490.822953863321,94.68609049605891,451.26721303985295,121.02604757071813,29.627376164042527,0.2821470482722016,13,1,-0.08297044806024148,5.972832669843562,61.596779430433465,1.4191976578396428,5.313713085876579,67.54088358272978,0.280689794065072,0.3246937009725221,1.6414711107416293,48.28820735613504,-0.265091195416431,1.4028515274395794,2.5008665365592444,0.3525040663857797,0.9598586090785124,-0.3366708967070422,1,0.750924299614952,-1.4294479627006988,-4.09675206527989,13.511803755030046,8,2,11,27,w,17,3,13,4,0,0,19,1,19,5,2,0
Tue,23.0,12/26/2019 20:00,P Bankes,Everton,Arsenal,4-3-3,45.28028145263228,336.41772271765655,493.24697096788,132.30013512725742,369.1766408451113,116.29225673085968,30.627640875255466,0.4001176805376005,17,0,0.32452464362094147,27.05880592479601,59.97765163093599,5.0584546199122205,11.006006886072502,85.05522006894306,0.9902406975677396,0.18645255232303765,0.5349710832403761,50.14873620298002,0.2829411528435254,1.0694306479449873,2.1824891836651967,1.2970041124705256,1.931103672233134,1.144309989122994,0,-0.08978678046942479,1.4942028241121357,13.422923891067073,10.849794508408635,39,0,1,27,l,14,3,15,7,1,0,5,1,15,5,2,0
Fri,24.0,08/10/2019 20:00,M Dean,Arsenal,Leicester,4-1-4-1,53.33681822520643,520.1325880645012,148.4215145561371,45.4320186507794,372.2499604824344,115.69695946063533,19.13986713609403,0.5730280857833492,19,0,-0.282586140131013,9.941245470104283,63.15613583600736,9.25768191271405,11.544893970457583,45.95776346161749,0.8644597645389342,0.058100696433118014,0.3094996313769984,46.23648693620639,-0.042312675463983714,-0.2776885340961819,1.4410537128903005,0.8874195167770187,0.9908567191607588,1.5300989830501983,0,1.2582487041509771,2.020579326987998,8.750252128601609,18.73714061816398,12,0,43,21,d,24,7,8,4,3,0,14,3,7,1,0,0
