Round,Date,Time,Home,Score,Away,Attendance,Venue
First round,2019-08-06,,Portsmouth,3-0,Birmingham City,,
First round,2019-08-06,,Macclesfield Town,2-2,Blackpool,,
First round,2019-08-06,,Rotherham United,4-0,Shrewsbury Town,,
First round,2019-08-06,,Oxford United,1-0,Peterborough United,,
First round,2019-08-06,,Grimsby Town,1-0,Doncaster Rovers,,
First round,2019-08-06,,Blackburn Rovers,3-2,Oldham Athletic,,
First round,2019-08-06,,Coventry City,4-1,Exeter City,,
First round,2019-08-06,,Forest Green Rovers,0-0,Charlton Athletic,,
First round,2019-08-06,,Leeds United,3-0,Salford City FC,,
First round,2019-08-06,,Milton Keynes Dons,2-2,AFC Wimbledon,,
First round,2019-08-06,,Stoke City,1-0,Wigan Athletic,,
First round,2019-08-06,,Luton Town,3-1,Ipswich Town,,
First round,2019-08-06,,Cambridge United,1-1,Brentford,,
First round,2019-08-06,,Swansea City,3-1,Northampton Town,,
First round,2019-08-06,,Nottingham Forest,1-0,Fleetwood Town,,
First round,2019-08-13,,Sheffield Weds,-,Bury,,
First round,2019-08-06,,Plymouth Argyle,2-0,Leyton Orient,,
First round,2019-08-06,,Crawley Town,3-2,Walsall,,
First round,2019-08-06,,Burton Albion,2-1,Port Vale,,
First round,2019-08-06,,Derby County,1-0,Scunthorpe United,,
First round,2019-08-06,,Reading,1-1,Wycombe Wanderers,,
First round,2019-08-06,,Lincoln City,1-0,Huddersfield Town,,
First round,2019-08-06,,Newport County,2-2,Gillingham,,
First round,2019-08-06,,Preston North End,4-0,Bradford City,,
First round,2019-08-06,,Sunderland,3-1,Accrington Stanley,,
First round,2019-08-06,,Southend United,2-1,Stevenage,,
First round,2019-08-06,,Rochdale,5-2,Bolton Wanderers,,
First round,2019-08-06,,Carlisle United,3-0,Barnsley,,
First round,2019-08-06,,Crewe Alexandra,2-2,Middlesbrough,,
First round,2019-08-06,,QPR,3-3,Bristol City,,
First round,2019-08-06,,Hull City,3-0,Tranmere Rovers,,
First round,2019-08-06,,Morecambe,2-2,Mansfield Town,,
First round,2019-08-06,,Bristol Rovers,3-0,Cheltenham Town,,
First round,2019-08-06,,Colchester United,3-0,Swindon Town,,
First round,2019-08-06,,Millwall,2-1,West Brom,,
Second round,2019-08-27,,Colchester United,0-0,Crystal Palace,,
Second round,2019-08-27,,Nottingham Forest,3-0,Derby County,,
Second round,2019-08-27,,West Ham United,2-0,Newport County,,
Second round,2019-08-27,,Stoke City,2-2,Leeds United,,
Second round,2019-08-27,,Southampton,1-0,Fulham,,
Second round,2019-08-27,,Oxford United,2-2,Millwall,,
Second round,2019-08-27,,Sheffield United,2-1,Blackburn Rovers,,
Second round,2019-08-27,,Preston North End,2-2,Hull City,,
Second round,2019-08-27,,Luton Town,3-0,Cardiff City,,
Second round,2019-08-27,,Watford,3-0,Coventry City,,
Second round,2019-08-27,,Milton Keynes Dons,4-1,Southend United,,
Second round,2019-08-27,,Rochdale,2-1,Carlisle United,,
Second round,2019-08-27,,Burton Albion,4-0,Morecambe,,
Second round,2019-08-27,,Reading,4-2,Plymouth Argyle,,
Second round,2019-08-27,,Aston Villa,6-1,Crewe Alexandra,,
Second round,2019-08-27,,Brighton,2-1,Bristol Rovers,,
Second round,2019-08-27,,Crawley Town,1-0,Norwich City,,
Second round,2019-08-27,,Portsmouth,2-0,QPR,,
Second round,2019-08-27,,Bournemouth,0-0,Forest Green Rovers,,
Second round,2019-08-27,,Sheffield Weds,1-0,Rotherham United,,
Second round,2019-08-27,,Swansea City,6-0,Cambridge United,,
Second round,2019-08-27,,Leicester City,1-1,Newcastle United,,
Second round,2019-08-27,,Sunderland,3-1,Burnley,,
Second round,2019-08-27,,Everton,4-2,Lincoln City,,
Second round,2019-08-27,,Grimsby Town,0-0,Macclesfield Town,,
Third round,2019-09-24,,Manchester City,3-0,Preston North End,,
Third round,2019-09-24,,Leicester City,4-0,Luton Town,,
Third round,2019-09-24,,Arsenal,5-0,Nottingham Forest,,
Third round,2019-09-24,,Crawley Town,1-1,Stoke City,,
Third round,2019-09-24,,Watford,2-1,Swansea City,,
Third round,2019-09-24,,Everton,2-0,Sheffield Weds,,
Third round,2019-09-24,,Colchester United,0-0,Tottenham Hotspur,,
Third round,2019-09-24,,Southampton,4-0,Portsmouth,,
Third round,2019-09-24,,Burton Albion,2-0,Bournemouth,,
Third round,2019-09-24,,Oxford United,4-0,West Ham United,,
Third round,2019-09-24,,Aston Villa,3-1,Brighton,,
Third round,2019-09-24,,Sunderland,1-0,Sheffield United,,
Third round,2019-09-24,,Liverpool,2-0,Milton Keynes Dons,,
Third round,2019-09-24,,Chelsea,7-1,Grimsby Town,,
Third round,2019-09-24,,Wolves,1-1,Reading,,
Third round,2019-09-24,,Manchester Utd,1-1,Rochdale,,
Fourth round,2019-10-29,,Everton,2-0,Watford,,
Fourth round,2019-10-29,,Oxford United,1-1,Sunderland,,
Fourth round,2019-10-29,,Manchester City,3-1,Southampton,,
Fourth round,2019-10-29,,Leicester City,3-1,Burton Albion,,
Fourth round,2019-10-29,,Colchester United,3-1,Crawley Town,,
Fourth round,2019-10-29,,Liverpool,5-5,Arsenal,,
Fourth round,2019-10-29,,Aston Villa,2-1,Wolves,,
Fourth round,2019-10-29,,Manchester Utd,2-1,Chelsea,,
Quarter-finals,2019-12-17,,Aston Villa,5-0,Liverpool,,
Quarter-finals,2019-12-17,,Manchester City,3-1,Oxford United,,
Quarter-finals,2019-12-17,,Leicester City,2-2,Everton,,
Quarter-finals,2019-12-17,,Manchester Utd,3-0,Colchester United,,
Semi-finals,2020-01-07,,Manchester Utd,1-3,Manchester City,,
Semi-finals,2020-01-29,,Manchester City,0-1,Manchester Utd,,
Semi-finals,2020-01-08,,Leicester City,1-1,Aston Villa,,
Semi-finals,2020-01-28,,Aston Villa,2-1,Leicester City,,
Final,2020-03-01,,Manchester City,2-1,Aston Villa,,
