Round,Date,Time,Home,Score,Away,Attendance,Venue
Group stage 1,2019-09-19,18:55,Eintracht Frankfurt de,0-3,Arsenal eng,47,000,Deutsche Bank Park
Group stage 1,2019-09-19,20:00,Wolves eng,0-1,Braga pt,28,314,Molineux Stadium
Group stage 1,2019-09-19,20:00,Manchester Utd eng,1-0,FC Astana kz,50,783,Old Trafford
Group stage 2,2019-10-03,18:55,AZ Alkmaar nl,0-0,Manchester Utd eng,13,863,Cars Jeans Stadion
Group stage 2,2019-10-03,19:55,Beşiktaş tr,0-1,Wolves eng,22,670,Vodafone Arena
Group stage 2,2019-10-03,20:00,Arsenal eng,4-0,Standard Liège be,58,725,Emirates Stadium
Group stage 3,2019-10-24,18:55,Slovan Bratislava sk,1-2,Wolves eng,20,333,Štadión Tehelné pole
Group stage 3,2019-10-24,18:55,Partizan rs,0-1,Manchester Utd eng,25,627,Stadion Partizana
Group stage 3,2019-10-24,20:00,Arsenal eng,3-2,Vitória Guimarães pt,60,195,Emirates Stadium
Group stage 4,2019-11-06,15:50,Vitória Guimarães pt,1-1,Arsenal eng,17,822,Estádio Dom Afonso Henriques
Group stage 4,2019-11-07,20:00,Wolves eng,1-0,Slovan Bratislava sk,29,789,Molineux Stadium
Group stage 4,2019-11-07,20:00,Manchester Utd eng,3-0,Partizan rs,62,955,Old Trafford
Group stage 5,2019-11-28,20:00,Arsenal eng,1-2,Eintracht Frankfurt de,49,419,Emirates Stadium
Group stage 5,2019-11-28,21:50,FC Astana kz,2-1,Manchester Utd eng,28,949,Astana Arena
Group stage 6,2019-12-12,20:00,Manchester Utd eng,4-0,AZ Alkmaar nl,65,773,Old Trafford
Group stage 6,2019-12-12,20:00,Wolves eng,4-0,Beşiktaş tr,27,866,Molineux Stadium
Round of 32,2020-02-20,18:55,Club Brugge be,1-1,Manchester Utd eng,27,006,Jan Breydelstadion
Round of 32,2020-02-20,20:00,Wolves eng,4-0,Espanyol es,30,435,Molineux Stadium
Round of 32,2020-02-20,22:00,Olympiacos gr,0-1,Arsenal eng,31,456,Stadio Georgios Karaiskáki
Round of 32,2020-02-27,18:55,Espanyol es,3-2,Wolves eng,14,525,RCDE Stadium
Round of 32,2020-02-27,20:00,Manchester Utd eng,5-0,Club Brugge be,70,397,Old Trafford
Round of 32,2020-02-27,20:00,Arsenal eng,1-2,Olympiacos gr,60,424,Emirates Stadium
Round of 32,2020-02-27,20:00,Arsenal eng,1-2,gr Olympiacos,60,424,Emirates Stadium
Round of 16,2020-03-12,18:55,LASK at,0-5,eng Manchester Utd,,Linzer Stadion
Round of 16,2020-03-12,22:00,Olympiacos gr,1-1,eng Wolves,,Stadio Georgios Karaiskáki
Round of 16,2020-08-05,20:00,Manchester Utd eng,2-1,at LASK,,Old Trafford
Round of 16,2020-08-05,21:00,Wolves eng,1-0,gr Olympiacos,,Molineux Stadium
Quarter-finals,2020-08-10,21:00,Manchester Utd eng,1-0,dk FC Copenhagen,,RheinEnergieSTADION (Neutral Site)
Quarter-finals,2020-08-11,21:00,Wolves eng,0-1,es Sevilla,,Schauinsland-Reisen-Arena (Neutral Site)
Semi-finals,2020-08-16,21:00,Sevilla es,2-1,eng Manchester Utd,,RheinEnergieSTADION (Neutral Site)
