Round,Date,Home Team,Score,Away Team,Notes
Final,August 1, 2020,Arsenal,2-1,Chelsea,Arsenal won match in normal time
Semi-finals,July 18-19, 2020,Arsenal,2-0,Manchester City,Arsenal won match in normal time
Semi-finals,July 18-19, 2020,Chelsea,3-1,Manchester United,Chelsea won match in normal time
Quarter-finals,June 27-28, 2020,Manchester United,2-1,Norwich City,Manchester United won match following extra time
Quarter-finals,June 27-28, 2020,Arsenal,2-1,Sheffield United,Arsenal won match in normal time
Quarter-finals,June 27-28, 2020,Chelsea,1-0,Leicester City,Chelsea won match in normal time
Quarter-finals,June 27-28, 2020,Manchester City,2-0,Newcastle United,Manchester City won match in normal time
Fifth round,March 2-5, 2020,Arsenal,2-0,Portsmouth,Arsenal won match in normal time
Fifth round,March 2-5, 2020,Chelsea,2-0,Liverpool,Chelsea won match in normal time
Fifth round,March 2-5, 2020,Sheffield United,2-1,Reading,Sheffield United won match following extra time
Fifth round,March 2-5, 2020,Newcastle United,3-2,West Brom,Newcastle United won match in normal time
Fifth round,March 2-5, 2020,Norwich City,1-1,Tottenham Hotspur,Norwich City won on penalty kicks following extra time
Fifth round,March 2-5, 2020,Manchester City,1-0,Sheffield Wednesday,Manchester City won match in normal time
Fifth round,March 2-5, 2020,Leicester City,1-0,Birmingham City,Leicester City won match in normal time
Fifth round,March 2-5, 2020,Manchester United,3-0,Derby County,Manchester United won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Manchester United,6-0,Tranmere Rovers,Manchester United won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Portsmouth,4-2,Barnsley,Portsmouth won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Tottenham Hotspur,3-2,Southampton,Tottenham won replayed match in normal time
Fourth round,Jan 24-Feb 5, 2020,Arsenal,2-1,Bournemouth,Arsenal won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Newcastle United,3-2,Oxford United,Newcastle United won replayed match following extra time
Fourth round,Jan 24-Feb 5, 2020,Reading,0-3,Cardiff City,Reading won replayed match on penalty kicks following extra time
Fourth round,Jan 24-Feb 5, 2020,West Brom,1-0,West Ham United,West Brom won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Norwich City,2-1,Burnley,Norwich City won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Derby County,4-2,Northampton Town,Derby County won replayed match in normal time
Fourth round,Jan 24-Feb 5, 2020,Sheffield Wednesday,2-1,QPR,Sheffield Wednesday won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Liverpool,1-0,Shrewsbury Town,Liverpool won replayed match in normal time
Fourth round,Jan 24-Feb 5, 2020,Chelsea,2-1,Hull City,Chelsea won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Leicester City,1-0,Brentford,Leicester City won match in normal time
