Day,Match_Day,Date,Referee,Team,Opponent,Formation,Possession,Open_Play_Pass,Passes_Completed,Passes_Under_Pressure,Ground_Passes,High_Passes,SoT%,G/SoT,Avg_Shots_Distance,FK_Shots,PK,Shot_Creating_Actions,Successful_Dribbles,Final_Third_Entries,Final_Third_Entries_Allowed,Save%,Clean_Sheet,PK_Allowed,Defensive_Actions,Aerial_Battles_Won%,OG,xG,xGA,npxG,npxGA,Scored,Conceded,xpts,Net_npxG,PPDA,Allowed_PPDA,Total_Points,Pts,Total_Goals,Total_Conceded,Result,Home_Shots,Home_SoT,Home_Fouls,Home_Corners,Home_Yellow,Home_Red,Away_Shots,Away_SoT,Away_Fouls,Away_Corners,Away_Yellow,Away_Red
Fri,1.0,8/9/2019 20:00,M Oliver,Liverpool,Norwich,4-3-3,57,472,409,104,331,139,46.7,0.43,17.0,1,0,21,71.4,11.0,5.0,83.3,0,0,1,77.8,0,2.23456,0.842407,2.23456,0.842407,4.0,1.0,2.3863,1.392153,5.942857143,21.45454545,3.0,3.0,4.0,1.0,w,15.0,7.0,9.0,11.0,0.0,0.0,12.0,5.0,9.0,2.0,2.0,0.0
Fri,1.0,8/9/2019 20:00,M Oliver,Norwich,Liverpool,4-2-3-1,43,338,304,76,249,87,46.2,0.17,17.2,1,0,22,30.0,5.0,11.0,42.9,0,0,0,22.2,1,0.842407,2.23456,0.842407,2.23456,1.0,4.0,0.4405,-1.392153,21.45454545,5.942857143,0.0,0.0,1.0,4.0,l,15.0,7.0,9.0,11.0,0.0,0.0,12.0,5.0,9.0,2.0,2.0,0.0
Sat,1.0,8/10/2019 12:30,M Dean,West Ham,Manchester City,4-2-3-1,43,377,347,104,288,96,60.0,0.0,11.6,1,0,9,40.0,1.0,9.0,50.0,0,1,0,50.0,0,1.2003,3.18377,1.2003,2.42264,0.0,5.0,0.2522,-1.22234,16.4,6.935483871,0.0,0.0,0.0,5.0,l,5.0,3.0,6.0,1.0,2.0,0.0,14.0,9.0,13.0,1.0,2.0,0.0
Sat,1.0,8/10/2019 12:30,M Dean,Manchester City,West Ham,4-3-3,57,536,495,155,459,46,61.5,0.5,15.7,0,1,25,57.1,9.0,1.0,100.0,1,0,1,50.0,0,3.18377,1.2003,2.42264,1.2003,5.0,0.0,2.6312,1.22234,6.935483871,16.4,3.0,3.0,5.0,0.0,w,5.0,3.0,6.0,1.0,2.0,0.0,14.0,9.0,13.0,1.0,2.0,0.0
Sat,1.0,8/10/2019 15:00,C Pawson,Brighton,Watford,3-4-3,50,419,369,143,317,98,75.0,0.67,16.1,0,0,8,72.7,5.0,7.0,100.0,1,0,0,66.7,0,0.855516,0.670022,0.855516,0.670022,3.0,0.0,1.5458,0.185494,11.5,9.785714286,3.0,3.0,3.0,0.0,w,11.0,3.0,15.0,5.0,0.0,0.0,5.0,3.0,11.0,2.0,1.0,0.0
Sat,1.0,8/10/2019 15:00,K Friend,Sheffield United,Bournemouth,3-5-2,47,425,367,84,236,119,37.5,0.33,18.8,0,0,12,54.5,6.0,4.0,66.7,0,0,0,72.0,0,1.59864,1.34099,1.59864,1.34099,1.0,1.0,1.5905,0.25765,9.133333333,13.6,1.0,1.0,1.0,1.0,d,13.0,3.0,10.0,3.0,2.0,0.0,8.0,3.0,19.0,4.0,1.0,0.0
Sat,1.0,8/10/2019 15:00,K Friend,Bournemouth,Sheffield United,3-4-3,53,471,409,112,358,109,23.1,0.33,18.2,1,0,15,50.0,4.0,6.0,66.7,0,0,1,28.0,0,1.34099,1.59864,1.34099,1.59864,1.0,1.0,1.0172,-0.25765,13.6,9.133333333,1.0,1.0,1.0,1.0,d,13.0,3.0,10.0,3.0,2.0,0.0,8.0,3.0,19.0,4.0,1.0,0.0
Sat,1.0,8/10/2019 15:00,J Moss,Crystal Palace,Everton,4-4-2,35,239,182,85,126,117,28.6,0.0,12.6,0,0,10,42.9,5.0,5.0,100.0,1,0,0,60.0,0,0.87159,1.2246,0.87159,1.2246,0.0,0.0,1.0512,-0.35301,11.30769231,4.074074074,1.0,1.0,0.0,0.0,d,6.0,2.0,16.0,6.0,2.0,0.0,10.0,3.0,14.0,2.0,1.0,1.0
Sat,1.0,8/10/2019 15:00,G Scott,Burnley,Southampton,4-4-2,46,288,214,118,135,124,44.4,0.75,15.8,0,0,12,73.9,0.0,9.0,100.0,1,0,2,54.5,0,0.909241,1.08752,0.909241,1.08752,3.0,0.0,1.1422,-0.178279,9.277777778,5.5,3.0,3.0,3.0,0.0,w,10.0,4.0,6.0,2.0,0.0,0.0,11.0,3.0,12.0,7.0,0.0,0.0
Sat,1.0,8/10/2019 15:00,G Scott,Southampton,Burnley,3-4-3,54,347,283,63,184,155,25.0,0.0,17.7,1,0,12,45.0,9.0,0.0,25.0,0,0,1,45.5,0,1.08752,0.909241,1.08752,0.909241,0.0,3.0,1.5136,0.178279,5.5,9.277777778,0.0,0.0,0.0,3.0,l,10.0,4.0,6.0,2.0,0.0,0.0,11.0,3.0,12.0,7.0,0.0,0.0
